Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
34,Non-Travel,710,Sales,26,1,Medical,1,1,Male,86,4,Research Director,3,Married,12234,2906,7,Yes,13,3,1,80,30,4,3,4,7,4,Yes
24,Travel_Rarely,849,Sales,14,1,Other,1,1,Female,62,1,Human Resources,3,Single,4253,4830,7,Yes,20,3,1,80,16,0,2,7,10,6,No
40,Non-Travel,1298,Human Resources,12,2,Human Resources,1,1,Female,54,3,Research Director,2,Single,10069,13654,6,Yes,14,3,1,80,6,1,4,2,7,5,Yes
55,Travel_Rarely,921,Sales,25,2,Technical Degree,1,1,Female,50,1,Research Director,1,Divorced,2715,16733,7,Yes,14,3,1,80,2,4,3,6,6,0,No
29,Travel_Rarely,630,Sales,22,3,Technical Degree,1,1,Female,60,1,Research Director,2,Divorced,8744,19153,6,Yes,13,4,3,80,6,3,2,0,6,2,No
30,Travel_Rarely,650,Sales,21,2,Technical Degree,1,2,Female,42,1,Human Resources,2,Single,11290,14016,7,No,15,3,3,80,6,0,2,1,11,10,No
59,Non-Travel,189,Human Resources,7,3,Marketing,1,3,Female,36,1,Human Resources,1,Married,11790,14735,7,Yes,19,3,3,80,9,2,2,1,6,5,No
55,Travel_Rarely,235,Sales,21,3,Marketing,1,3,Female,44,3,Sales Representative,3,Divorced,6237,14190,9,No,14,3,3,80,24,6,3,10,6,13,Yes
24,Non-Travel,641,Research & Development,8,3,Marketing,1,1,Female,71,1,Human Resources,1,Single,9429,12346,9,Yes,12,4,1,80,9,0,4,4,10,7,No
22,Travel_Rarely,1242,Human Resources,14,4,Other,1,3,Male,65,2,Human Resources,2,Divorced,8481,11597,7,No,12,3,3,80,18,0,4,6,5,2,No
50,Non-Travel,610,Research & Development,18,4,Life Sciences,1,1,Female,88,1,Research Director,4,Married,13601,15442,7,Yes,17,3,1,80,3,0,3,3,8,1,No
37,Travel_Frequently,768,Research & Development,11,3,Other,1,2,Female,63,1,Research Director,1,Single,4122,4743,6,Yes,17,3,1,80,29,5,3,0,7,6,No
36,Non-Travel,176,Sales,17,4,Medical,1,2,Female,81,2,Research Director,2,Divorced,6711,10070,7,No,17,3,3,80,8,5,4,0,6,3,Yes
47,Travel_Rarely,379,Sales,16,2,Other,1,4,Female,70,3,Research Director,4,Single,16647,6445,8,Yes,12,3,1,80,2,2,1,6,6,7,Yes
37,Travel_Frequently,1397,Human Resources,13,4,Life Sciences,1,2,Female,78,1,Research Director,2,Married,13370,17371,7,Yes,16,3,1,80,6,0,2,8,5,6,No
34,Travel_Rarely,731,Sales,16,1,Life Sciences,1,1,Female,91,4,Research Director,1,Single,10654,15250,7,Yes,15,3,2,80,10,3,1,5,5,6,Yes
32,Travel_Frequently,666,Sales,22,2,Other,1,2,Female,36,1,Research Director,2,Single,10362,22726,7,No,21,3,4,80,10,4,4,7,5,7,No
53,Travel_Rarely,1135,Human Resources,12,3,Technical Degree,1,1,Female,91,4,Sales Representative,3,Single,12092,22114,7,No,18,3,1,80,22,0,2,1,7,3,No
27,Travel_Frequently,1107,Sales,7,2,Life Sciences,1,1,Female,68,1,Sales Representative,3,Single,12767,21421,8,Yes,14,3,3,80,30,4,2,1,6,7,No
56,Travel_Rarely,1157,Human Resources,11,1,Human Resources,1,2,Female,60,2,Sales Representative,3,Single,9116,15689,7,Yes,11,3,1,80,28,2,2,2,8,6,Yes
26,Travel_Rarely,545,Human Resources,17,1,Marketing,1,3,Male,81,1,Sales Representative,2,Married,7956,8614,8,Yes,11,3,2,80,21,6,4,5,7,2,Yes
29,Non-Travel,1239,Research & Development,29,4,Life Sciences,1,1,Female,52,2,Sales Representative,2,Single,11156,3670,8,Yes,17,3,4,80,21,4,2,7,9,7,No
27,Travel_Rarely,1025,Sales,7,2,Medical,1,2,Female,64,4,Human Resources,1,Single,8755,12075,7,Yes,19,3,2,80,24,0,2,11,10,5,No
34,Travel_Frequently,661,Human Resources,22,3,Technical Degree,1,2,Male,85,1,Research Director,1,Single,3662,4748,7,Yes,19,4,1,80,29,1,3,8,6,0,No
29,Travel_Rarely,760,Research & Development,27,5,Life Sciences,1,2,Female,67,2,Sales Representative,1,Single,16966,11999,7,Yes,13,4,4,80,19,5,3,4,6,6,No
40,Travel_Rarely,181,Research & Development,11,2,Technical Degree,1,1,Female,37,1,Research Director,3,Single,3459,4582,6,Yes,13,3,1,80,27,2,3,4,6,6,No
47,Travel_Rarely,369,Sales,3,5,Medical,1,1,Female,99,2,Research Director,2,Single,7767,21227,8,No,20,3,1,80,10,0,4,3,6,6,No
38,Travel_Rarely,438,Sales,6,3,Marketing,1,1,Female,70,1,Research Director,2,Married,11448,9269,7,Yes,16,3,3,80,15,1,2,8,7,2,No
48,Travel_Frequently,177,Sales,17,4,Life Sciences,1,4,Female,97,1,Research Director,3,Married,14317,23756,6,Yes,15,4,2,80,25,0,4,1,10,0,No
36,Travel_Rarely,1278,Research & Development,17,3,Medical,1,1,Female,68,3,Sales Representative,3,Single,11505,4088,6,Yes,16,3,4,80,15,5,3,16,6,6,No
23,Travel_Frequently,865,Research & Development,24,2,Other,1,1,Female,72,2,Human Resources,3,Single,13150,13247,6,Yes,22,3,1,80,4,4,4,0,7,3,Yes
35,Travel_Rarely,1342,Sales,24,2,Life Sciences,1,3,Female,33,1,Human Resources,2,Single,12171,20062,7,Yes,23,3,1,80,15,5,3,2,7,3,No
33,Non-Travel,951,Research & Development,18,4,Life Sciences,1,1,Female,86,2,Research Director,1,Married,9827,14424,6,Yes,16,3,3,80,13,4,3,3,5,7,Yes
35,Travel_Rarely,846,Sales,21,3,Life Sciences,1,2,Female,91,2,Research Director,4,Single,16898,18639,8,Yes,16,3,1,80,14,2,4,3,12,0,No
38,Travel_Rarely,645,Research & Development,19,2,Marketing,1,1,Female,44,4,Research Director,3,Single,15803,6974,8,Yes,16,3,1,80,28,0,3,6,5,2,No
24,Travel_Rarely,432,Research & Development,11,1,Technical Degree,1,1,Female,92,1,Research Director,2,Single,8486,21852,7,Yes,20,3,2,80,1,4,3,4,11,4,No
42,Travel_Rarely,574,Sales,15,2,Life Sciences,1,2,Female,64,3,Research Director,1,Married,9469,21083,7,Yes,12,3,2,80,10,5,4,0,5,3,No
50,Travel_Rarely,1398,Research & Development,3,1,Technical Degree,1,1,Female,81,2,Research Director,4,Single,8094,23630,7,Yes,17,3,2,80,29,2,3,0,7,7,No
39,Travel_Frequently,827,Research & Development,20,3,Other,1,2,Female,69,1,Sales Representative,3,Married,7995,18914,9,Yes,14,3,2,80,19,1,2,6,6,3,No
33,Travel_Rarely,652,Sales,3,4,Life Sciences,1,4,Female,81,4,Research Director,2,Married,14345,16432,7,Yes,11,3,2,80,22,4,1,14,7,6,No
30,Non-Travel,512,Research & Development,21,3,Life Sciences,1,1,Female,76,3,Manager,3,Single,13505,4618,9,Yes,13,3,3,80,22,2,4,1,6,0,No
39,Travel_Rarely,619,Research & Development,24,3,Human Resources,1,1,Female,40,2,Human Resources,4,Single,11474,16055,9,Yes,12,3,3,80,15,4,2,9,9,0,No
42,Travel_Rarely,481,Sales,8,4,Medical,1,3,Female,30,3,Human Resources,3,Single,6983,20422,7,Yes,24,3,2,80,25,5,2,0,8,6,No
32,Travel_Rarely,503,Sales,3,2,Life Sciences,1,1,Female,46,2,Research Director,3,Married,5145,15983,8,Yes,18,4,3,80,22,4,2,1,6,5,No
51,Travel_Frequently,740,Human Resources,19,1,Medical,1,4,Female,80,3,Sales Representative,4,Divorced,6455,5458,9,No,18,3,3,80,28,5,1,6,6,2,No
46,Travel_Rarely,549,Research & Development,10,3,Life Sciences,1,3,Female,44,1,Research Director,3,Married,10503,10125,7,Yes,11,3,2,80,3,2,4,0,7,4,No
40,Travel_Rarely,617,Sales,17,1,Technical Degree,1,4,Female,33,2,Research Director,1,Married,8686,18399,7,Yes,18,3,2,80,7,0,2,1,9,7,No
58,Travel_Frequently,1223,Sales,2,4,Other,1,1,Female,93,1,Human Resources,2,Married,11558,23762,8,Yes,16,3,3,80,2,0,4,2,5,2,No
46,Travel_Frequently,553,Research & Development,15,3,Other,1,3,Female,94,4,Research Director,2,Single,16944,18506,6,Yes,17,4,1,80,14,6,2,1,7,5,No
46,Travel_Rarely,611,Sales,5,2,Life Sciences,1,2,Female,88,3,Research Director,1,Married,14971,21147,6,Yes,16,3,2,80,18,1,4,2,7,7,No
39,Travel_Rarely,970,Sales,8,3,Technical Degree,1,2,Male,57,4,Research Director,1,Divorced,8585,18590,8,Yes,15,3,1,80,6,0,2,7,6,13,Yes
44,Travel_Rarely,536,Research & Development,29,3,Medical,1,3,Female,57,3,Sales Representative,2,Single,5880,24049,7,Yes,12,3,2,80,17,2,3,3,6,6,No
36,Travel_Frequently,705,Sales,22,1,Human Resources,1,1,Female,55,3,Manager,3,Single,7571,22283,9,No,13,4,2,80,27,1,4,4,7,7,No
48,Travel_Rarely,816,Sales,25,3,Medical,1,1,Male,69,3,Sales Representative,1,Divorced,8089,22648,9,No,19,4,2,80,15,6,2,0,8,6,No
46,Travel_Rarely,281,Research & Development,21,1,Medical,1,3,Female,45,3,Research Director,4,Single,7324,18634,9,Yes,17,3,4,80,9,3,3,8,6,2,No
50,Non-Travel,726,Research & Development,12,3,Other,1,1,Female,49,3,Research Director,4,Divorced,14055,11250,6,Yes,23,3,1,80,1,1,3,2,6,2,Yes
28,Travel_Rarely,966,Sales,6,4,Life Sciences,1,1,Male,87,3,Human Resources,3,Divorced,10668,5271,6,Yes,11,4,3,80,11,3,3,0,6,9,No
33,Travel_Frequently,899,Sales,22,2,Other,1,3,Female,57,3,Sales Representative,1,Single,6928,9413,6,Yes,18,4,3,80,26,5,1,1,7,2,No
48,Travel_Rarely,292,Research & Development,6,5,Medical,1,1,Female,71,1,Human Resources,3,Single,14170,24803,9,No,17,3,2,80,10,4,3,4,6,4,No
38,Travel_Rarely,474,Sales,11,3,Other,1,4,Female,34,1,Research Director,1,Single,6283,17594,6,No,13,4,4,80,11,4,4,4,7,5,No
47,Non-Travel,760,Sales,29,3,Human Resources,1,2,Female,69,2,Human Resources,1,Single,3315,13863,9,Yes,17,3,3,80,12,2,4,0,6,10,No
55,Travel_Rarely,1233,Sales,12,2,Human Resources,1,3,Male,67,4,Human Resources,2,Single,7809,19131,8,No,12,4,2,80,3,3,3,2,7,1,No
55,Travel_Frequently,535,Human Resources,12,3,Life Sciences,1,1,Female,47,1,Sales Representative,3,Single,11918,12577,7,Yes,12,3,2,80,14,1,1,7,9,7,No
39,Travel_Rarely,627,Sales,11,2,Medical,1,1,Female,91,2,Research Director,3,Single,8673,9082,6,Yes,12,4,2,80,14,0,1,5,5,0,Yes
38,Travel_Rarely,881,Human Resources,1,1,Other,1,1,Female,51,3,Sales Representative,1,Married,9434,3791,6,No,11,4,1,80,27,1,2,4,6,7,Yes
40,Travel_Rarely,1071,Sales,2,4,Life Sciences,1,1,Female,85,2,Research Director,1,Single,3347,10416,9,Yes,22,3,2,80,22,4,4,8,6,5,Yes
35,Travel_Rarely,948,Human Resources,14,4,Medical,1,3,Female,99,2,Human Resources,2,Single,4791,16859,8,Yes,14,3,3,80,3,5,1,1,6,3,No
30,Non-Travel,141,Sales,2,5,Medical,1,1,Female,87,2,Human Resources,3,Single,10664,17296,7,Yes,12,4,3,80,20,3,3,7,7,3,No
21,Travel_Rarely,306,Research & Development,8,3,Technical Degree,1,1,Male,100,3,Human Resources,2,Single,7466,5667,6,Yes,25,3,2,80,25,4,2,9,7,6,No
24,Travel_Rarely,233,Sales,24,3,Other,1,3,Male,33,2,Human Resources,4,Single,5954,19119,7,Yes,15,3,2,80,22,1,3,4,9,2,No
49,Travel_Rarely,180,Research & Development,14,5,Medical,1,2,Female,45,3,Manager,1,Single,10323,4749,8,Yes,15,3,1,80,22,4,4,1,6,5,No
25,Travel_Frequently,645,Sales,27,2,Life Sciences,1,3,Male,69,3,Human Resources,3,Single,7284,21371,7,No,12,4,3,80,10,2,3,2,7,1,No
32,Travel_Frequently,1170,Research & Development,15,2,Other,1,2,Male,92,2,Research Director,1,Divorced,11802,21234,6,Yes,17,3,1,80,1,2,2,0,5,5,No
37,Travel_Frequently,243,Sales,23,2,Medical,1,1,Female,53,2,Sales Representative,4,Single,13266,5121,7,Yes,15,4,4,80,24,2,1,7,5,3,No
46,Travel_Rarely,598,Research & Development,20,5,Other,1,3,Female,61,1,Research Director,2,Single,3518,11173,6,No,14,3,1,80,19,5,2,13,7,3,No
44,Travel_Frequently,1460,Sales,7,3,Technical Degree,1,4,Female,57,1,Research Director,1,Divorced,4116,16927,9,Yes,11,3,4,80,8,4,1,8,6,3,No
40,Travel_Rarely,601,Sales,7,1,Marketing,1,3,Female,54,3,Research Director,1,Single,12385,18699,7,Yes,17,4,1,80,4,0,3,4,6,4,No
50,Non-Travel,688,Research & Development,12,4,Medical,1,1,Male,51,3,Sales Representative,1,Single,4976,8717,6,Yes,11,3,4,80,20,3,2,2,9,3,No
47,Travel_Rarely,581,Research & Development,2,4,Medical,1,1,Female,36,1,Sales Representative,1,Single,9366,20561,7,Yes,14,3,2,80,23,5,2,3,6,1,No
52,Travel_Rarely,363,Sales,3,1,Technical Degree,1,3,Male,41,2,Research Director,2,Married,5279,16705,7,Yes,12,3,3,80,5,1,3,3,8,7,No
51,Travel_Rarely,992,Research & Development,19,3,Human Resources,1,2,Male,46,4,Research Director,2,Single,13934,10984,9,Yes,12,3,2,80,5,4,1,3,5,8,No
54,Travel_Rarely,695,Sales,8,3,Medical,1,3,Female,47,3,Human Resources,1,Single,11251,14335,9,Yes,12,3,2,80,6,5,1,6,11,2,Yes
55,Non-Travel,1205,Research & Development,23,3,Human Resources,1,3,Female,45,1,Sales Representative,3,Single,4664,17295,9,Yes,15,3,1,80,22,0,1,3,5,6,Yes
35,Travel_Rarely,484,Research & Development,17,5,Other,1,2,Male,74,1,Human Resources,3,Single,5100,21671,7,Yes,16,4,2,80,7,2,4,7,5,8,No
32,Travel_Rarely,789,Sales,7,3,Life Sciences,1,3,Female,85,1,Human Resources,2,Married,5690,10903,6,Yes,14,4,1,80,17,4,4,11,5,10,No
47,Travel_Rarely,711,Research & Development,6,2,Technical Degree,1,2,Female,91,1,Sales Representative,1,Single,7208,3606,8,Yes,12,4,2,80,27,5,2,12,9,5,No
48,Travel_Frequently,1068,Research & Development,13,3,Life Sciences,1,4,Female,86,2,Research Director,2,Divorced,6547,18483,6,Yes,15,3,2,80,23,4,3,1,5,1,No
38,Travel_Rarely,1439,Sales,7,3,Marketing,1,4,Female,39,3,Research Director,1,Married,7945,15302,7,Yes,17,4,3,80,4,3,3,6,7,5,No
42,Travel_Rarely,1118,Sales,2,4,Life Sciences,1,1,Female,36,1,Human Resources,2,Married,5285,23615,6,No,22,3,1,80,3,0,1,3,6,11,Yes
28,Travel_Rarely,1147,Sales,15,3,Other,1,2,Male,46,1,Research Director,2,Married,6004,21150,6,Yes,16,3,3,80,8,4,1,4,5,7,No
28,Travel_Rarely,338,Human Resources,8,2,Medical,1,1,Female,61,1,Research Director,2,Single,15388,10027,7,Yes,15,3,4,80,14,0,3,8,7,0,Yes
31,Travel_Rarely,1115,Research & Development,17,3,Marketing,1,4,Female,36,3,Research Director,2,Married,10891,16046,6,Yes,18,3,3,80,20,1,2,6,10,1,No
21,Travel_Rarely,451,Research & Development,19,1,Medical,1,1,Female,37,2,Human Resources,3,Married,3670,12273,8,No,16,3,1,80,6,1,2,7,6,6,No
22,Travel_Rarely,1158,Sales,25,1,Life Sciences,1,2,Female,66,2,Research Director,2,Married,3082,9904,6,Yes,15,3,2,80,18,2,2,3,7,3,No
59,Travel_Rarely,760,Sales,12,3,Life Sciences,1,1,Female,83,1,Manager,2,Single,3129,6415,7,Yes,13,4,4,80,21,5,2,5,6,12,No
31,Non-Travel,610,Human Resources,3,3,Other,1,2,Female,38,1,Human Resources,2,Single,13852,20955,6,Yes,13,4,1,80,14,2,3,1,6,6,No
34,Travel_Rarely,1246,Sales,5,4,Marketing,1,4,Female,94,2,Research Director,2,Single,8529,22596,6,Yes,13,3,3,80,7,0,2,15,6,11,No
26,Travel_Rarely,281,Research & Development,14,3,Marketing,1,1,Female,49,1,Human Resources,3,Single,3315,21863,6,No,13,4,3,80,11,1,4,3,6,6,No
49,Non-Travel,889,Research & Development,5,1,Other,1,1,Female,82,1,Research Director,2,Single,13795,8312,8,No,17,4,2,80,14,0,1,3,5,1,Yes
45,Travel_Rarely,670,Research & Development,5,1,Medical,1,2,Female,56,2,Research Director,2,Divorced,8864,21936,7,Yes,17,4,2,80,22,1,2,5,5,1,No
19,Non-Travel,914,Human Resources,5,4,Life Sciences,1,1,Male,67,1,Research Director,1,Single,7911,8928,6,Yes,15,3,4,80,7,1,4,2,6,2,No
39,Travel_Frequently,172,Sales,10,1,Medical,1,3,Male,71,2,Sales Representative,2,Divorced,14228,19364,6,No,11,3,2,80,21,5,4,1,12,5,No
42,Travel_Frequently,364,Research & Development,16,5,Medical,1,1,Female,74,4,Sales Representative,4,Divorced,10626,16463,6,Yes,11,3,2,80,2,5,3,5,6,5,Yes
40,Travel_Frequently,331,Sales,18,2,Other,1,1,Female,47,3,Sales Representative,1,Single,15516,8602,9,No,16,3,1,80,8,0,4,7,5,11,Yes
55,Travel_Rarely,690,Sales,12,2,Other,1,4,Female,92,1,Human Resources,2,Divorced,8221,18305,6,Yes,15,3,3,80,6,1,2,5,5,3,No
54,Travel_Rarely,1297,Sales,21,4,Other,1,1,Female,70,4,Sales Representative,3,Single,2981,9619,9,Yes,14,3,3,80,14,0,1,16,5,4,No
38,Travel_Rarely,732,Sales,3,4,Other,1,4,Female,34,1,Research Director,3,Married,7130,8435,6,Yes,12,3,4,80,28,0,1,6,9,7,No
35,Travel_Rarely,682,Sales,14,5,Life Sciences,1,1,Female,56,3,Manager,1,Married,7385,11417,7,Yes,12,4,1,80,14,0,1,1,6,2,No
52,Travel_Frequently,845,Sales,21,2,Other,1,1,Female,83,4,Sales Representative,1,Married,11739,8337,7,Yes,15,4,3,80,2,0,3,0,5,6,No
26,Non-Travel,1223,Research & Development,6,3,Life Sciences,1,2,Male,45,3,Human Resources,1,Divorced,7362,12672,7,No,13,3,2,80,8,5,3,2,5,10,No
49,Travel_Rarely,1182,Research & Development,8,1,Life Sciences,1,3,Male,52,3,Research Director,4,Single,4276,15137,9,No,15,4,3,80,15,2,2,4,11,5,No
51,Travel_Rarely,591,Sales,10,2,Medical,1,2,Male,33,2,Human Resources,2,Single,13044,5699,6,Yes,23,3,3,80,18,3,4,2,10,0,Yes
24,Travel_Rarely,1086,Research & Development,5,1,Other,1,1,Female,73,2,Research Director,3,Single,8935,11636,6,No,11,3,1,80,16,5,4,0,5,6,No
28,Travel_Frequently,944,Sales,14,4,Other,1,2,Male,93,3,Research Director,3,Single,11805,5656,7,No,15,3,3,80,7,5,2,6,5,3,No
40,Travel_Frequently,926,Human Resources,1,2,Medical,1,2,Female,52,2,Sales Representative,2,Married,14323,10651,6,Yes,16,4,3,80,25,5,1,0,6,7,No
54,Travel_Rarely,586,Sales,6,2,Other,1,4,Female,71,1,Sales Representative,3,Single,5585,11821,9,Yes,12,3,1,80,29,4,3,3,7,4,No
37,Travel_Rarely,892,Research & Development,21,1,Technical Degree,1,1,Male,63,2,Human Resources,2,Divorced,2589,5990,9,Yes,20,3,1,80,7,0,1,7,5,7,Yes
44,Travel_Frequently,879,Sales,29,1,Human Resources,1,1,Female,53,3,Sales Representative,1,Married,12093,9981,9,No,16,4,2,80,13,0,2,0,9,4,No
38,Travel_Rarely,564,Research & Development,11,5,Life Sciences,1,2,Male,71,3,Sales Representative,3,Married,14228,6395,7,Yes,17,4,3,80,26,5,2,4,5,1,No
44,Travel_Frequently,998,Research & Development,9,3,Marketing,1,2,Female,60,4,Research Director,3,Married,14277,12422,8,No,14,3,2,80,14,0,2,1,10,3,No
24,Travel_Rarely,614,Sales,5,2,Life Sciences,1,1,Female,53,1,Human Resources,1,Single,5925,5534,8,Yes,16,4,4,80,4,4,2,4,7,3,No
24,Travel_Rarely,597,Human Resources,18,2,Life Sciences,1,1,Female,100,3,Manager,2,Single,6740,11422,8,Yes,13,3,2,80,19,6,3,2,12,2,No
32,Non-Travel,616,Sales,19,1,Life Sciences,1,1,Female,89,2,Manager,3,Single,4547,13934,6,Yes,13,3,3,80,28,6,1,0,6,2,No
38,Travel_Rarely,832,Sales,15,2,Medical,1,2,Female,47,3,Human Resources,2,Single,3724,10770,7,Yes,16,3,3,80,15,1,3,5,6,3,No
40,Travel_Frequently,1262,Human Resources,19,3,Medical,1,3,Female,40,3,Research Director,3,Single,3053,24950,6,Yes,15,4,4,80,24,4,1,0,12,8,No
35,Travel_Rarely,474,Research & Development,21,1,Other,1,2,Female,36,2,Sales Representative,1,Single,10626,10229,8,No,13,3,4,80,13,3,2,3,6,0,No
22,Travel_Frequently,900,Sales,5,1,Other,1,3,Female,88,1,Human Resources,2,Married,9743,11005,7,Yes,12,3,4,80,6,2,1,0,10,6,No
42,Travel_Rarely,1195,Sales,21,2,Life Sciences,1,4,Female,47,1,Sales Representative,2,Single,14142,19230,6,No,18,4,1,80,26,1,2,6,5,4,No
39,Travel_Rarely,423,Human Resources,6,1,Medical,1,3,Female,87,2,Sales Representative,1,Divorced,14830,15869,6,Yes,19,4,1,80,20,6,3,4,8,7,No
38,Travel_Rarely,1143,Sales,3,1,Life Sciences,1,1,Female,100,3,Manager,2,Single,9118,17685,8,No,24,3,1,80,30,1,3,2,7,8,No
35,Travel_Frequently,245,Sales,17,5,Other,1,3,Female,54,2,Research Director,4,Married,9724,10940,7,Yes,14,3,3,80,13,6,2,3,5,0,No
47,Travel_Frequently,1098,Sales,16,1,Life Sciences,1,4,Female,67,3,Research Director,4,Divorced,4443,19708,9,Yes,15,3,3,80,1,3,2,0,5,1,No
